1-year yield,2-year yield,3-year yield,4-year yield,5-year yield,7-year yield,10-year yield,tau_t*100
5.170034648,5.465682356,5.688106978,5.775453701,5.927286117,6.141192692,6.265395935,3.093859594
5.188152033,5.43721587,5.641901536,5.771729908,5.926384438,5.963860389,5.838999999,3.101695779
4.565526443,4.919793695,5.191203495,5.447413561,5.642362476,5.771723507,5.740667707,3.107931183
4.652407839,5.013393341,5.28796004,5.493876191,5.682248201,5.906096712,5.823149838,3.10686644
4.247437755,4.76337062,5.050060662,5.239453205,5.415486995,5.739020353,5.882558045,3.101736718
4.08987093,4.784157662,5.251448364,5.530735927,5.699207767,5.929997648,6.076936857,3.100452256
4.186782106,4.732487373,5.195465939,5.470653481,5.635588018,5.865935234,6.008574603,3.099085344
4.880915013,5.49322373,5.756141849,5.887456555,5.972751865,6.058228323,6.041605631,3.097747421
4.434597293,5.052030142,5.48815325,5.662215372,5.755139406,5.969327309,6.14472479,3.096229974
4.496038783,4.939791935,5.365431971,5.553211893,5.717773816,5.908764004,6.101101185,3.09071674
5.040714997,5.424305031,5.683359328,5.814039968,5.922424127,6.005007764,5.997786658,3.083017739
4.717001492,5.205220535,5.64336733,5.819265009,5.911950116,6.036485301,6.159838767,3.075336178
5.261999468,5.604922068,5.892473567,6.047935162,6.12942903,6.246441477,6.327261249,3.070621139
5.487653881,5.763759997,5.9237166,6.024133521,6.087022617,6.250956202,6.459722625,3.065967395
5.357544438,5.734925079,5.928864051,6.06089042,6.106205611,6.20671936,6.330015228,3.061285634
5.277032713,5.599322113,5.853695815,5.966374768,6.007241201,6.086620729,6.227117188,3.054520037
5.503979835,5.836805649,6.012437578,6.074340051,6.109830438,6.183227146,6.275243042,3.049822275
5.984197673,6.204131559,6.297506541,6.338495499,6.32561267,6.300883029,6.390837332,3.040051833
6.23520084,6.525592438,6.587459898,6.628968179,6.59356031,6.540342819,6.40657441,3.032382852
6.837929876,6.809134712,6.723762325,6.702829828,6.650516094,6.621188599,6.490282454,3.030615159
6.614707857,6.636826247,6.639827016,6.6205907,6.581811117,6.619704324,6.566784675,3.025806462
6.942670929,6.770723965,6.647505173,6.612839414,6.608802876,6.724048521,6.74983579,3.024710357
7.532855751,6.981258819,6.878178132,6.794731878,6.736651489,6.739188785,6.747487731,3.022685544
8.533428918,7.956346657,7.791312255,7.733421592,7.619698676,7.335569671,7.078399332,3.020596148
8.266385811,7.630601568,7.258163778,7.129681355,7.060592217,7.005431708,6.887689599,3.018364112
7.418598749,6.794601768,6.601707764,6.58899644,6.58476754,6.641267798,6.68919672,3.02466712
